ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
12940477,01/01/2023 01:00:00 AM,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,STREET,False,False,922,9.0,15.0,41.810238009,-87.685881415
12943227,01/01/2023 01:00:00 AM,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,False,False,1132,11.0,24.0,41.873907046,-87.725430093
12938695,01/01/2023 01:00:00 AM,BATTERY,SIMPLE,STREET,False,False,122,1.0,42.0,41.880687961,-87.631561392
12944131,01/01/2023 01:00:00 AM,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1832,18.0,2.0,41.895252242,-87.631210977
12938664,01/01/2023 01:00:00 AM,MOTOR VEHICLE THEFT,AUTOMOBILE,CHA PARKING LOT / GROUNDS,False,False,533,5.0,9.0,41.656373881,-87.6075631
12939189,01/01/2023 01:00:00 AM,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,423,4.0,7.0,41.736726311,-87.55695463
12950130,01/01/2023 01:00:00 AM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,732,7.0,6.0,41.76634276,-87.638380623
12938564,01/01/2023 01:00:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,835,8.0,18.0,41.750153256,-87.679372404
12938864,01/01/2023 01:00:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2524,25.0,31.0,41.926884246,-87.720719787
12939140,01/01/2023 01:00:00 AM,THEFT,$500 AND UNDER,BAR OR TAVERN,False,False,1832,18.0,42.0,41.893541578,-87.629701805
12944392,01/01/2023 01:00:00 PM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,915,9.0,11.0,41.833927408,-87.641312103
12939657,01/01/2023 01:00:00 PM,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,512,5.0,9.0,41.703383237,-87.609997262
12938591,01/01/2023 01:00:00 AM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,False,False,1713,17.0,33.0,41.971086296,-87.712217356
12938987,01/01/2023 01:00:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,False,True,1824,18.0,2.0,41.902187338,-87.629933817
12940914,01/01/2023 01:00:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,212,2.0,4.0,41.829329244,-87.606845621
12940500,01/01/2023 01:00:00 PM,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,821,8.0,14.0,41.810539978,-87.70869773
12938617,01/01/2023 01:00:00 AM,BATTERY,SIMPLE,APARTMENT,False,True,513,5.0,9.0,41.698929185,-87.619651972
12938688,01/01/2023 01:00:00 AM,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,1632,16.0,38.0,41.944490648,-87.787524161
12938763,01/01/2023 01:00:00 AM,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,1833,18.0,2.0,41.896765602,-87.622055873
12939981,01/01/2023 01:00:00 AM,ROBBERY,ARMED - HANDGUN,GAS STATION,False,False,532,5.0,9.0,41.682334926,-87.620651734
12942951,01/01/2023 01:00:00 AM,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,False,False,723,7.0,20.0,41.775359043,-87.645890468
12938723,01/01/2023 01:00:00 AM,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,1012,10.0,24.0,41.854324995,-87.730820499
12944345,01/01/2023 01:00:00 AM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,633,6.0,9.0,41.728304902,-87.613135742
12939232,01/01/2023 01:00:00 AM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,421,4.0,7.0,41.758091299,-87.554611718
12939172,01/01/2023 01:00:00 AM,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,412,4.0,8.0,41.74009522,-87.578202433
12939725,01/01/2023 01:00:00 PM,THEFT,OVER $500,STREET,False,False,1214,12.0,27.0,41.889998232,-87.656551077
12938745,01/01/2023 01:00:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,False,True,1932,19.0,32.0,41.936275601,-87.668539693
12939025,01/01/2023 01:00:00 PM,BURGLARY,HOME INVASION,APARTMENT,False,False,421,4.0,7.0,41.758448997,-87.557183984
12939417,01/01/2023 01:00:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,734,7.0,17.0,41.76044926,-87.657917735
12939933,01/01/2023 01:01:00 AM,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,1935,19.0,43.0,41.931317745,-87.651388378
12938389,01/01/2023 01:03:00 AM,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,STREET,True,False,1024,10.0,12.0,41.846272505,-87.709084302
12942385,01/01/2023 01:04:00 AM,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,1723,17.0,35.0,41.955110728,-87.712949692
12938731,01/01/2023 01:05:00 AM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1724,17.0,33.0,41.958437008,-87.706939298
12938449,01/01/2023 01:05:00 AM,ASSAULT,SIMPLE,STREET,False,False,1831,18.0,42.0,41.890355795,-87.631091986
12938851,01/01/2023 01:06:00 AM,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,False,2232,22.0,34.0,41.708169151,-87.648946954
12939103,01/01/2023 01:07:00 AM,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,332,3.0,5.0,41.767889922,-87.584980645
12941628,01/01/2023 01:10:00 AM,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1935,19.0,43.0,41.930906002,-87.644017035
12941781,01/01/2023 01:10:00 AM,OTHER OFFENSE,VIOLATION OF SUMMARY CLOSURE,SMALL RETAIL STORE,False,False,131,1.0,3.0,41.848250254,-87.626975854
12938412,01/01/2023 01:11:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1433,14.0,32.0,41.910564546,-87.672270972
12938488,01/01/2023 01:12:00 AM,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE - PORCH / HALLWAY,False,False,622,6.0,21.0,41.739622639,-87.638119181
12938354,01/01/2023 01:12:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1011,10.0,24.0,41.866147972,-87.726784885
12938863,01/01/2023 01:13:00 PM,BATTERY,SIMPLE,APARTMENT,False,False,113,1.0,4.0,41.8769047,-87.629043466
12938905,01/01/2023 01:14:00 AM,THEFT,$500 AND UNDER,STREET,False,False,913,9.0,11.0,41.83663668,-87.654765038
12938464,01/01/2023 01:15:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,122,1.0,42.0,41.878111597,-87.634339888
12938335,01/01/2023 01:15:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,True,True,1722,17.0,45.0,41.954054454,-87.73681569
12939496,01/01/2023 01:15:00 PM,BATTERY,SIMPLE,HOTEL / MOTEL,False,False,1832,18.0,42.0,41.894327846,-87.62814321
12938594,01/01/2023 01:17:00 AM,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,213,2.0,3.0,41.831020551,-87.625884733
12938587,01/01/2023 01:20:00 AM,THEFT,$500 AND UNDER,STREET,False,False,2223,22.0,34.0,41.717087039,-87.638237574
12938353,01/01/2023 01:20:00 AM,BATTERY,SIMPLE,SIDEWALK,True,False,1824,18.0,2.0,41.903916987,-87.630509932
12938379,01/01/2023 01:25:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1631,16.0,29.0,41.940434346,-87.808042651
12938895,01/01/2023 01:30:00 PM,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,734,7.0,6.0,41.762271169,-87.65786564
12938575,01/01/2023 01:30:00 AM,BATTERY,SIMPLE,RESTAURANT,False,False,1832,18.0,42.0,41.893541578,-87.629701805
12939056,01/01/2023 01:30:00 PM,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,False,1223,12.0,27.0,41.882142153,-87.682302719
12938437,01/01/2023 01:30:00 AM,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1112,11.0,37.0,41.898128681,-87.722500679
12938469,01/01/2023 01:30:00 AM,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1834,18.0,42.0,41.891990384,-87.611461502
